all_preds_reg,all_preds_cls,all_labels_cls,all_labels_reg,premise,entailment
3.490605,2,0,3.0,A group of children is playing in the house and there is no man standing in the background,The young boys are playing outdoors and the man is smiling nearby
4.158439,1,0,3.665,A brown dog is attacking another animal in front of the man in pants,A brown dog is helping another animal in front of the man in pants
2.871859,2,0,2.7,A brown dog is attacking another animal in front of the man in pants,There is no dog wrestling and hugging
4.2765656,1,0,3.0,A person in a black jacket is doing tricks on a motorbike,A person on a black motorbike is doing tricks with a jacket
3.4180748,0,2,3.9,The player is missing the basket and a crowd is in background,The player is dunking the basketball into the net and a crowd is in background
3.3460925,0,2,3.5,There is no man dunking the ball at a basketball game,The player is dunking the basketball into the net and a crowd is in background
3.482491,0,1,4.4,Two people are kickboxing and spectators are watching,Two people are fighting and spectators are watching
4.8409934,1,0,4.0,Two spectators are kickboxing and some people are watching,Two people are kickboxing and spectators are watching
3.5406148,2,0,3.3,There is no child lying in the snow and making snow angels,Two people in snowsuits are lying in the snow and making snow angels
4.392163,1,0,2.9,A little girl is looking at a woman in costume,A little girl in costume looks like a woman
3.6569214,0,1,4.8,A man is jumping into an empty swimming pool,A man is jumping into an empty pool
4.490518,1,0,4.0,Four girls are doing backbends and playing outdoors,Four girls are doing backbends and playing indoors
4.0396085,0,1,4.3,Four kids are doing backbends in the park,Four girls are doing backbends and playing outdoors
3.221185,0,1,4.7,Two groups of people are playing football,Two teams are competing in a football match
4.4960556,1,0,4.2,A deer is jumping over the enclosure,A deer is jumping a fence
3.690403,0,1,3.8,Several people are in front of a building which is covered by colors,People are walking outside a building that has many murals on it
2.1388733,0,2,3.8,A child is hitting a baseball,A child is missing a baseball
4.419135,1,0,3.7,A little boy is watching a family that is hitting a baseball,A family is watching a little boy who is hitting a baseball
3.744606,0,1,4.2,A family is watching a little boy who is hitting a baseball,A boy is hitting a baseball
3.9570308,0,1,4.1,A family is watching a little boy who is hitting a baseball,A child is hitting a baseball
4.001353,1,0,3.4,A large group of Asian people is eating at a restaurant,A small group of people is waiting to eat in a restaurant
4.0083942,1,0,3.5,A large group of Asian people is eating at a restaurant,A group of people in a large Asian restaurant is eating
4.3193817,1,0,3.6,A rider is on a black and white bike and is standing on the seat,A motorcycle rider is standing up on the seat of a white motorcycle
4.3319173,1,0,3.7,Someone is on a black and white motorcycle and is standing on the seat,A motorcycle rider is standing up on the seat of a white motorcycle
3.5266314,0,1,4.0,A man with a helmet painted red is riding a blue motorcycle down the road,A motorcyclist is riding a motorbike along a roadway
3.3371794,0,2,3.3,There is no motorcyclist riding a motorbike along a roadway,A motorcyclist with a red helmet is riding a blue motorcycle down the road
3.505332,0,1,4.5,A motorcyclist with a red helmet is riding a blue motorcycle down the road,A motorcyclist is riding a motorbike along a roadway
3.9099956,0,1,4.2,A dog is catching a stick in the air and another is watching,A dog is leaping high in the air and another is watching
4.404068,1,0,3.9,The blond girl is dancing behind the sound equipment,The blond girl is dancing in front of the sound equipment
4.5806174,1,0,3.9,A woman is wearing an Egyptian headdress,An Egyptian is wearing a woman's headdress
4.417679,1,0,3.7,The black woman is wearing glasses over the headdress,The woman is wearing glasses and a black headdress
3.2151754,0,2,3.6,The woman is not wearing glasses or a headdress,A woman is wearing an Egyptian headdress
4.148373,1,0,2.8,A cowgirl is riding a barrel near a horse in the corner,A cowgirl is riding a horse and corners a barrel
4.6621714,1,0,3.6,A boy is standing outside the water,A boy is standing in the water
4.395779,1,0,4.2,The kid is swimming through the blue ocean,The boy is wading through the blue ocean
4.1331677,0,1,4.7,A person has blonde and flyaway hair and is playing a guitar,A guitarist has blonde and flyaway hair
4.422836,1,0,3.8,Two girls are lying on the ground,Two girls are sitting on the ground
4.1959376,1,0,3.1,"A man, a woman and two girls are walking on the beach","A man, a woman and two girls are sitting on the beach"
4.031449,0,1,4.4,"A man, a woman and two girls are sitting on the beach",A group of people is on a beach
3.8230674,0,1,3.8,"A man, a woman and two girls are walking on the beach",A group of people is near the sea
4.498007,1,0,3.2,A dog is chasing another and is holding a stick in its mouth,A dog is chasing a stick and holding another dog in its mouth
4.092945,1,0,3.8,A dirty soccer ball is rolling into a goal net,A soccer player is kicking a ball into the goal
2.9420965,2,0,2.8,A soccer player is kicking a ball into the goal,A soccer ball is not rolling into a goal net
4.3301764,1,0,4.0,A white and tan dog is running through a field,A brown and white dog is running through the tall grass
4.4859276,1,0,3.6,A brown and white dog is moving through the wild grass,A white and tan dog is running through the tall and green grass
3.855075,1,0,3.5,Some people are walking,Some people are standing
3.1514487,0,1,3.6,A group of scouts are hiking through the grass,People are walking
3.0948043,0,1,4.1,A group of explorers are walking through the grass,Some people are walking
3.6898744,0,1,4.7,Two men are holding bikes and standing on the side of a road covered of snow,Two men with bikes are on the side of a snowy road
4.4123545,1,0,3.6,Two men are holding some water standing near fishing poles,Two men are standing near the water and are holding fishing poles
2.794961,0,1,4.6,A lady is surfing and riding a wave,A woman is surfing
3.6366994,0,1,4.6,Two children and an adult are standing next to a tree limb,Three people are standing next to a tree limb
3.934504,0,1,4.2,Two children are hanging on a large branch,Two children are climbing a tree
4.4271483,1,0,3.5,A black man in green is riding a bike,A man dressed in black is riding a bike
3.2708478,0,2,4.085,A child is holding a squirt gun,There is no child holding a water gun or getting sprayed with water
3.6858416,0,1,4.5,A laughing child is holding a water gun and getting sprayed with water,A child is holding a squirt gun
3.163115,2,0,3.0,A man wearing a dyed black shirt is sitting at the table and laughing,A man isn't sitting comfortably at the table
4.2475533,1,0,2.9,A dog that has a brown and white coat is trotting through shallow water,A brown and white coat is floating across shallow water near a trotting dog
4.190981,1,0,3.8,A white and brown dog is pacing through the water with difficulty,A dog that has a brown and white coat is trotting through shallow water
3.3200774,2,0,3.1,A dog that has a brown and white coat is trotting through shallow water,There is no white and brown dog pacing with through the water difficulty
4.3874755,1,0,4.0,A dog that has a white and brown colored coat is trotting through shallow water.,A white and brown dog is walking through the water with difficulty
4.247304,1,0,2.5,A white and brown dog is walking through the water with difficulty,A brown and white coat is floating across shallow water near a trotting dog
4.1704555,1,0,3.7,A white and brown dog is walking through the water with difficulty,A dog that has a brown and white coat is trotting through shallow water
4.0930715,1,0,3.6,A group of boys are playing with a ball in front of a large door made of wood,A ball made of wood is being played through a door in front of a large group of boys 
3.648617,0,1,3.8,A group of boys are playing with a ball in front of a large door made of wood,"The children are playing in front of a door, which is very large"
3.7234824,0,1,4.2,A group of boys are playing with a ball in front of a large door made of wood,The children are playing in front of a large door
3.4655442,2,0,2.8,A teenage girl is wearing beads that are red,The girl likes red and isn't wearing beads for teenagers
2.5664213,0,1,3.0,"A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling",A teenage girl is wearing beads that are red
4.0408072,0,1,5.0,A fearful little boy is on a climbing wall,"A little boy, who looks fearful, is on a climbing wall."
3.1004515,2,0,3.0,A boy is coming down a wall artificially built for climbing and isn't attached to the rope,A fearful little boy is on a climbing wall
2.849036,2,0,3.0,A man isn't tossing a kid into the swimming pool that is near the ocean,A father is launching the daughter in a swimming pool
4.4330244,1,0,3.3,One man is descending a cliff with a rope,One man is climbing a cliff with a rope
4.514206,1,0,4.3,The young boy is climbing the wall made of rock,A young kid is climbing a rock climbing wall which is indoors
3.6783917,2,0,3.9,A young boy isn't climbing a wall made of rock,A young child is climbing a rock climbing wall which is indoors
4.4718237,1,0,4.2,A young child is climbing a rock climbing wall which is indoors,The young boy is climbing the wall made of rock
3.7739956,2,0,3.5,One man is doing a bicycle trick in midair,A man is failing to perform a bicycle trick in midair
3.1409867,0,1,4.1,One man is doing a trick with a bicycle in midair,The cyclist is performing a trick in the air
2.6972573,0,2,3.3,A man is failing to perform a bicycle trick in midair,The cyclist is performing a trick in the air
3.2443247,0,1,4.4,One man is doing a bicycle trick in midair,The cyclist is performing a trick in the air
4.3403397,0,2,3.6,"A dog, which is black, and a white one are ignoring each other in the street","A dog, which is black, and a white one are staring at each other in the street"
4.445041,1,0,3.9,A dog which is furry and black is in a back yard and is carrying a basket in its mouth,A dog in the backyard is carrying black fur in a basket in its mouth.
4.2679486,1,0,3.2,The bride is leaving the groom after the wedding,The bride and the groom are leaving after the wedding
3.6826797,0,1,4.8,A married couple is walking down the aisle,A couple who have just got married are walking down the isle
4.0801115,1,0,2.9,A married couple is walking down the aisle,The priest is walking down the aisle to marry a couple
3.1086185,0,1,4.1,A couple who have just got married are walking down the isle,The bride and the groom are leaving after the wedding
3.4163034,0,1,3.9,The presentation is being watched by a classroom of students,A classroom is full of students
3.419626,2,0,3.6,"A woman, who is old, is near a white dog","A woman, who is old, is far from a white dog"
3.9195173,0,1,4.6,A girl is looking on surprised from a front window in a house in Asia.,"A girl from Asia, in front of a brick window, looks surprised"
4.2145576,0,1,4.4,The boy on the grass is lying and is hiding the football between his feet,The football is between the feet of a boy who is lying on the grass
4.161574,1,0,3.2,"The climbing equipment to rescue a man is hanging from a white, vertical rock","A man with equipment used for climbing is hanging from a white, vertical rock."
3.921394,0,1,4.4,A black and a white dog are joyfully running on the grass,"A dog, which has a black coat, and a white dog are running on the grass"
3.4217434,2,0,3.2,One white dog and one black one are running side by side on the grass,There is no dog joyfully running on the grass
4.2760463,1,0,4.1,A black and a white dog are joyfully running on the grass,One white dog and one black one are running side by side on the grass
3.6304777,2,0,3.6,A lot of people are in an ice skating park,An ice skating rink placed outdoors is empty
3.645305,0,2,3.6,There is no one on the shore,A bunch of people is on the shore
3.9369264,0,1,3.8,People are on a beach full of sand by the ocean and are enjoying a day full of sun,A bunch of people is on the shore
3.359449,0,2,3.7,People are on a beach full of sand by the ocean and are enjoying a sunny day,There is no one on the shore
4.024043,0,1,4.4,"The young woman in a dyed red shirt, is blowing a bubble that is huge",The girl in the red shirt is blowing a bubble 
3.7769942,0,1,3.8,"The young woman in a dyed red shirt, is blowing a bubble that is huge",The young girl is blowing a bubble that is huge
3.9404378,0,2,2.8,Two young kids are eating corndogs,Two young kids are fasting
4.238507,1,0,3.9,Two young kids are playing with a man eating corndogs,Two young kids are eating corndogs
3.850267,0,1,3.5,A man in a shirt dyed purple is looking at a man in a black shirt who is doing a funny face,A man in a pose is being amusedly watched by another man
3.758318,0,1,3.9,A man in a shirt dyed purple is looking at a man in a black shirt who is doing a face which looks funny,A man doing a pose is being watched by another man
3.6856241,0,1,3.765,A man in a shirt dyed purple is looking at a man in a black shirt who is doing a funny face,A man doing a pose is being watched by another man
3.9928675,0,1,3.8,A man is falling off a horse on a track and is laid in the wild,A man is getting on a horse on a track laid in the wild
4.7146025,1,2,4.1,"The man and the boy are standing at the bottom of the stairs, which are outdoors","The man and the boy are standing at the top of the stairs, which are outdoors"
4.102873,1,0,3.4,Some furious racers on the green grass are yelling at the horses jumping an obstacle,Some horses are racing furiously over the green grass and jumping an obstacle
4.5853987,1,0,2.6,A woman is wearing sunglasses of large size and is holding newspapers in both hands,A newspaper is featuring a woman with large sized hands holding sunglasses and wearing a coat
3.3769546,0,2,3.4,An old woman is shirtless and is clumsily dropping two newspapers,An old woman is wearing a rose patterned shirt and is clumsily carrying two newspapers
4.1715755,1,0,3.7,A motorbike rider is jumping over a person on a sandy track,The person is riding a motorbike on a sandy track
3.933065,0,1,4.5,The young peaceful girl is lying about the grass found in the pink shirt,The young girl with a pink shirt is peacefully lying on the grass
5.0063343,1,2,3.8,The turtle is following the fish,The fish is following the turtle
3.1829162,2,0,3.4,The turtle is following the fish,A sea turtle is not hunting for fish
3.4647195,0,1,4.4,A woman is dipping a prawn in batter,A woman is dipping a shrimp in batter
3.7312515,0,1,4.5,A man is playing a guitar under a windows,A man is playing a guitar
3.6948488,0,2,3.3,A woman is removing ingredients from a bowl,A woman is adding ingredients to a bowl
3.1836555,2,0,3.2,A woman is slicing a carrot,There is no woman slicing a potato
4.5277386,1,0,3.1,A woman is slicing a potato,A carrot is being sliced by a woman
3.247954,2,0,3.2,A woman is slicing a potato,There is no woman slicing a carrot
4.3221445,1,0,3.2,A woman is slicing a potato,A woman is slicing a carrot
3.2971175,2,0,3.7,A man is speaking on a stage,There is no man speaking on a podium
4.613526,1,0,4.0,A man is speaking on a stage,A podium is where a man is speaking
4.145287,1,0,4.1,A small monkey is walking through water,A monkey is wading through a marsh
4.092608,1,0,4.0,A woman is dancing and singing in the rain,A woman is dancing and singing alone
1.9742832,0,2,2.7,A man is sitting,A man is dancing
3.4587452,0,1,4.0,A man is playing soccer,A man is playing a game with a ball
4.66776,1,0,3.6,A boy is spanking a man with a plastic sword,A man is spanking a boy with a plastic sword
3.0936859,0,2,2.6,There is no man being hit,A boy is whacking a man with a sword
4.8065867,1,0,3.6,A boy is whacking a man with a sword,A man is whacking a boy with a sword
3.9187603,0,1,4.2,A boy is spanking a man with a plastic sword,A man is being hit by a kid with a weapon
2.5779648,0,2,3.5,There is no man being hit,A boy is spanking a man with a plastic sword
3.830675,0,1,4.3,A boy is spanking a man with a plastic sword,A boy is whacking a man with a sword
4.0481677,0,1,4.4,The young lady is measuring the ankle of another woman,The woman is measuring the other woman
3.358934,2,0,2.9,The woman is measuring the other woman,The lady isn't measuring the ankle of another woman
4.066046,0,1,4.7,The lady is measuring the ankle of another woman,The woman is measuring the other woman
3.1480863,0,2,3.365,A man is hanging up the phone,A man is making a call on a cell phone
3.9935582,0,1,4.8,A man is making a call on a cell phone,A man is making a phone call
4.437163,1,0,4.2,An animal is rolling from side to side in a garden,A dog is rolling from side to side
3.4737837,2,0,3.4,A person is playing the keyboard,There is no man playing a keyboard
4.2621727,1,0,4.0,A person is rinsing a steak with water,A man is rinsing a large piece of meat
3.5572755,0,1,4.4,A sad man is crying,A man is crying
2.93019,0,1,4.7,A man is spitting on the ground,A man is spitting
3.1815174,0,1,4.5,A man is exercising,A man is doing physical activity
3.9962976,0,1,3.8,A deer is jumping over a cyclone fence,A deer is jumping over a wall
3.3514473,2,0,2.6,The man is stirring the sauce for the chicken,The man is not stirring oil
3.8037324,0,1,4.2,A woman is cutting broccoli,A woman is slicing vegetables
4.4404774,1,0,4.1,A woman is cutting some flowers,A woman is cutting some plants
3.8509893,1,0,4.2,A musician is playing two keyboards,A man is playing two keyboards
4.028954,0,1,4.3,A man is carrying a tree,A man is carrying a plant
4.0902886,1,0,3.2,A man is carrying a tree,A man is planting a tree
4.3157053,1,0,3.0,A man is playing the guitar,A man is playing the guitar owner
3.320329,0,2,3.5,The chef is carefully drying the oil from the pan,The chef is carefully pouring some oil into a pan
3.395498,2,0,3.3,The chef is carefully pouring some oil into a pan,There is no man pouring liquid into a pot
4.1175165,1,0,3.5,The man needs a stenograph to operate ,The man is operating a stenograph
3.6655338,2,0,4.0,The man isn't cautiously feeding a mouse to the snake,A snake is being fed a mouse by a man
0.8595057,0,1,1.5,A guy is cheerfully playing with a footbag,The man isn't playing the piano
3.9760575,0,1,3.5,A boat's sail is being reflected by the peaceful water,A boat is sailing peacefully over the water
4.5927167,1,0,4.0,Milk is a kitten's drink,A kitten is drinking fresh milk
4.6699243,1,0,3.9,Milk is a kitten's drink,The milk is being drunk by a cat
4.718162,1,0,4.2,A kitten is drinking fresh milk,The cat is drinking some milk
3.734479,0,2,3.4,A man is emptying a container made of plastic,A man is filling a container made of plastic
4.1161976,1,0,3.015,The elephant is being ridden by the woman,The elephant is being ridden over a woman
4.458143,1,0,2.8,A man is pushing the buttons of a microwave,A man is being pushed toward the buttons of a microwave
4.5249944,1,0,4.1,A man is pushing the buttons of a microwave,One man is powering the microwave
4.216533,0,1,4.2,One man is turning on the microwave,The buttons of a microwave are being pushed by a man
4.354923,1,0,3.4,A man is being pushed toward the buttons of a microwave,One man is turning on the microwave
3.3532286,2,0,3.4,A flute is being played by a girl,There is no woman playing a flute
4.823543,1,0,4.2,One woman is playing a flute,A flute is being played by a girl
3.791778,1,0,3.2,A piano is being played by a man,One boy is happily playing a piano
3.097977,2,0,2.4,The boy isn't playing the piano happily,A piano is being played by a man
4.393161,0,1,4.4,A cheetah is chasing its prey across a field,A cheetah is quickly running behind its prey.
3.8199627,2,0,2.5,Not everyone is able to walk a lion,A lion is slowly walking
2.8293993,2,0,3.5,A lion is slowly walking,There is no lion pacing tiredly in a pen
3.4707236,2,0,2.6,The loud man is not allowed to play the guitar,A man is playing the guitar loudly
4.533851,1,0,3.6,A girl is cutting butter into two pieces,A girl is melting two pieces of butter together
4.120292,1,0,2.2,A girl is cutting butter into two pieces,A magician is cutting a girl into two pieces like butter
4.9371796,1,0,3.5,Some sliced tofu is being eaten by a woman,Tofu is being sliced by a woman
4.194999,1,0,4.0,The man is carelessly smearing butter on a slice of garlic bread,A man is spreading butter on a piece of bread which is big
4.2049294,0,1,3.1,The microphone in front of the talking parrot is being muted,A parrot is speaking
3.3400176,0,2,3.3,A man is putting away a guitar,A man is passionately playing a guitar
4.2793446,1,0,4.2,A person is singing and playing the guitar,One man is passionately playing the guitar
4.329946,1,0,3.9,A man is passionately playing a guitar,The singer is playing the guitar in front of a person
3.4713895,0,2,3.2,A chimp is angrily kicking a target,A chimp is missing the target
3.9722087,1,0,3.5,A person is taking away the meat in the skillet,A person is putting meat into a skillet
4.583254,1,0,3.8,One small child is drinking water from the cup,One small child is filling the cup with water
4.1764097,1,0,2.8,A woman is carefully removing her makeup,A woman is putting on makeup carefully
3.0821898,2,0,3.4,A girl is not playing the guitar,The man is intensely playing the guitar
3.8021731,0,1,4.4,The horse is being ridden by a man,A man is riding the animal
4.5739074,1,0,3.7,The man is on the ride with the horse,The horse is being ridden by a man
3.5839615,2,0,3.3,The practicing person doesn't like the guitar,The person is practicing the guitar
3.7742996,0,1,3.8,The guitar is being played by a girl,The person is practicing the guitar
3.941525,1,0,3.4,A lady is cutting up some meat,The woman is eating some cut pieces of raw meat
4.5201764,1,0,3.6,A man is eating a carrot sliced by a machine,A man is slicing the carrot with a machine
4.16554,1,0,4.2,The cat is licking a shallow dish full of milk,The cat is licking milk from a saucer
3.0058413,2,0,3.2,A small boy is playing with a dog,There is no baby playing with a dog
4.438222,1,0,3.4,The picture of a man is being taken near a lake,A man is taking pictures of a lake
4.331467,1,0,3.8,A man is taking pictures of a lake,The man is setting up the camera and takes pictures of the sunset at the beach
4.2748046,1,0,3.2,The man is setting up the camera and taking sunset pictures at the beach,A man is attentively taking pictures of a lake
4.4604955,1,0,2.7,The picture of a man is being taken near a lake,The man is setting up the camera and taking sunset pictures at the beach
4.3723736,1,0,3.4,The man is setting up the camera and taking sunset pictures at the beach,A man is taking pictures of a lake
3.2046216,2,0,3.0,A woman is cracking an egg into a bowl,The woman is not cracking two eggs into a glass bowl
3.2863142,2,0,3.1,A man is putting garlic on some bread slices,There is no man sprinkling seasoning on several sliced and buttered loaves of bread
4.5185294,1,0,3.5,Two crocodiles are floating in a green colored swimming pool near some playing kids,Two kids are playing in a swimming pool with a green colored crocodile float
4.071974,1,0,3.7,Two kids are pulling an inflatable crocodile out of a pool,Two kids are pushing an inflatable crocodile in a pool
4.0798,0,1,4.5,Two kids are playing in a swimming pool with a crocodile float that is green,Two kids are pushing an inflatable crocodile in a pool
3.8730023,0,1,4.4,Two kids are pushing an inflatable crocodile in a pool,Two kids are playing in a swimming pool with a green colored crocodile float
3.3851192,2,0,3.75,The dog is not knocking the boy into the water,A dog is pushing a toddler into a rain puddle
3.176885,2,0,3.6,The woman is not adding sugar to the meat,A woman is adding spices to some meat
3.1512015,2,0,3.7,The woman is adding sugar to the meat,There is no woman adding spices to some meat
4.803864,1,0,4.3,A teenager is playing the guitar,A kid is playing a guitar
4.6346316,1,0,4.1,A teenager is playing the guitar,A boy is playing a guitar
3.4403605,2,0,3.9,There is no boy playing a guitar,A kid is playing a guitar
3.8139281,0,1,4.3,A camera is being hammered onto the nail by the man,The man is hammering a nail with a camera
4.3144245,1,0,3.55,The man is hammering a nail with a camera,Someone is nailing a camera lens with loud bangs
4.1207323,1,0,4.265,The man is hammering a nail with a camera,Someone is banging a camera lens against a nail
3.563631,0,1,4.3,The oriental lady is cutting a carrot into thin pieces,A carrot is being sliced by a woman
3.341961,0,1,4.4,The oriental lady is cutting a carrot into thin pieces,A woman is slicing a carrot
2.8223572,0,1,3.6,A man is pouring a plate of cheese which is shredded into a pot of sauce,The lady is adding cheese to the sauce
3.7319434,0,1,4.1,A person is burning some cameras with a blow torch,The person is setting fire to the cameras
3.3372319,2,0,3.8,A man is playing the guitar,The man isn't playing an acoustic guitar
4.4890804,1,0,3.4,A person is cutting an onion into pieces,A person is piecing together an onion
4.2581244,1,0,4.3,The person is carefully slicing a potato,The man is slicing the potato
4.0596037,0,1,4.4,Somebody is cutting a tomato,The lady is slicing a tomato
4.451574,0,1,4.3,The runners are racing impetuously around a track,Runners are competing in a race
3.4911864,2,0,3.6,Runners are competing in a race,The runners are not racing around a track
4.667975,1,0,3.5,A man at the keyboard is playing with his nose,The man is playing the piano with his nose
3.7996244,2,0,3.2,There is no man riding a motorcycle through the town,A man is riding a motorcycle
3.061476,0,2,3.3,A man is speaking,A man is silent
3.8018014,2,0,3.7,The woman is not dancing,A woman is dancing in a cage
3.4499729,2,0,4.4,Four people are floating on a raft,People are not riding and paddling a raft
3.2712445,2,0,3.7,Someone is slicing a tomato,The person isn't slicing a vegetable
3.5549352,2,0,4.2,There is no man playing a bamboo flute,The man is playing a flute
4.82884,1,0,3.4,A monkey is brushing the dog,A bull dog is brushing the monkey
4.6474314,1,0,3.9,A man is dancing with a worn hard hat,A man is wearing a hard hat and dancing
4.34611,1,0,3.0,Ferrets are climbing up a shelf,Ferrets are climbing down from a shelf
4.181559,1,0,3.8,Several ferrets are climbing into the cage,Several ferrets are climbing out of the cage
4.385905,1,0,3.6,A man is parking a car in a garage,A man is getting into a car in a garage
3.6963491,2,0,4.3,There is no man singing and playing the guitar,A man is playing a guitar
4.3270903,1,0,3.565,A woman on a rock is lying on a blanket and reading a book,A woman on a rock is standing and looking around
3.6800969,0,1,4.165,Soccer players are kicking a soccer ball into the goal,A soccer player is scoring a goal
3.3094485,0,1,4.8,A man and woman are talking,A man and a woman are having a conversation
2.750045,2,0,3.0,A man and woman are talking,A man and a woman are not eating
4.562471,1,0,3.515,A person is pouring olive oil into a pot on the stove,A person is pouring olive oil into the stove from a pot
3.6583853,2,0,3.6,There is no guinea pig eating a carrot,A small guinea pig is gnawing and eating a piece of carrot on the floor
4.7479014,1,0,3.8,A plane is taking off,A plane is landing
4.456575,1,0,3.9,An animated airplane is landing,An animated airplane is taking off
3.6072896,2,0,3.8,The woman is not penciling on eyeshadow,The girl is using an eye pencil on her eyelid
3.6798692,2,0,3.3,The woman is penciling on eyeshadow,The girl is not using an eye pencil on her eyelid
4.3661866,1,0,3.9,A woman is cooking eggs,The woman is lovingly cooking something
3.3531365,2,0,3.0,There is no woman cooking eggs,The woman is cooking something
3.2822244,0,1,4.4,Two cats are playfully fighting each other,The cats are playing with each other
3.8449492,0,1,4.1,Two people are riding a motorcycle,Two people are riding a bike
3.8783338,0,1,4.4,A girl is applying makeup to her face,A lady is putting on makeup
4.076556,0,2,3.3,A woman is putting cosmetics on her eyelid,A woman is removing cosmetics from her eyelid
3.694042,0,2,3.135,The woman is penciling on eyeshadow,A woman is removing cosmetics from her eyelid
3.6646144,0,1,3.8,Different teams are playing football on the field,Two teams are playing soccer
3.379234,2,0,3.2,A boy is sitting in a room and playing a piano by lamp light,There is no boy playing a keyboard
3.3165267,2,0,3.6,There is no woman playing an electric guitar,A man is playing a guitar
4.41542,1,0,3.4,The man is staging a microphone and is singing,The man on stage is singing into the microphone
4.2906322,1,0,4.2,A man in a suit is standing at a microphone and singing,The man on stage is passionately singing into the microphone
3.267319,2,0,3.3,The man on stage is singing into the microphone,There is no man in a suit standing at a microphone and singing
4.5004425,1,0,3.8,Some children are jumping off a trampoline,Some children are jumping on a trampoline
4.3441696,1,2,3.4,A man is jumping onto a low wall,A man is jumping off a low wall
4.3151417,1,0,4.0,A man is athletically jumping a wall,A man is jumping onto a low wall
4.338449,1,0,4.1,A person is ruffling the fur of a cat,A person is combing the fur of a cat
4.369023,1,0,3.8,A person is ruffling the fur of a cat,A person is brushing a cat
4.0666113,1,0,2.9,The woman is slicing garlic,A woman is chopping broccoli
3.0180538,2,0,2.935,Three men are dancing,There is no woman dancing
3.5521326,0,2,3.2,The man is fasting,The man is eating
3.8846352,0,1,4.7,The man is eating,A man is eating some food
3.8231132,0,2,3.5,A woman is applying cosmetics to her eyelid,A woman is removing cosmetics from her eyelid
4.4381075,1,0,4.3,A woman is carefully applying cosmetics to her eyelid,A woman is using an eye pencil and is applying eye liner to her eyelid
3.8533297,1,0,3.0,A baby is crawling happily,A baby is sitting
4.8053417,1,0,3.1,A gloved person is kicking at the hand of a monkey,A monkey is kicking at the gloved hand of a person
3.1477265,2,0,4.3,A man is missing the soccer ball,A man is kicking a soccer ball
2.942754,2,0,3.5,A man is missing the soccer ball,A man is performing tricks with a soccer ball
3.6179073,0,1,4.2,A man is performing tricks with a soccer ball,A man is kicking a soccer ball
3.5243976,2,0,3.6,There is no young boy playing a wind instrument,A kid is playing an instrument
4.2473073,1,0,4.0,A young boy is playing a wind instrument,A kid is practicing with an instrument
4.0609264,0,1,4.6,A kitten is playing with a blue rope toy,The little cat is playing with a toy
4.113872,1,2,4.0,A boy is running away from the fishing line,A boy is running towards the fishing line
3.2266653,2,0,3.2,A boy is running away from the fishing line,There is no boy hanging a fishing rod and running in front of a fish
3.4179156,2,0,3.5,The squirrel is not running in circles,An animal is running in circles
4.219908,1,0,4.0,A woman is placing two eggs into a pot of water,A woman is taking two eggs out of a pot of water
3.511795,2,0,3.2,There is no person kicking a soccer ball between somebody's feet,A person is kicking a soccer ball between their feet
3.75198,0,1,3.8,A person is kicking a soccer ball between their feet,The person who is playing soccer is kicking the ball between somebody's legs
3.8256507,0,1,4.6,A man is walking a woman through the woods,A man and a woman are walking through the woods
2.5571127,0,2,3.0,The man and woman are not walking,A man and a woman are walking through the woods
3.6392457,0,1,4.2,The man and the woman are walking through the woods,The man and woman are walking
3.352894,0,1,4.4,A man and a woman are walking through the woods,The man and woman are walking
2.8452587,0,2,2.9,An airplane is flying through the air,An airplane is being stationed on the ground
3.932617,0,1,4.4,Somebody is typing on the keyboard,Someone is typing
3.7409341,0,1,4.4,Someone is typing on a keyboard,Someone is typing
2.533235,0,2,2.7,A woman is deboning a fish,A woman is freeing a fish
3.904493,2,0,3.2,One woman is handing volleyballs to another woman,One woman is denying the volleyballs to another woman
4.4100037,1,0,3.3,A woman is serving volleyballs over a net,A woman is being handed volleyballs by another woman
